,month,new_ent,type,count,proportion_perc,perc_change
0,2024-06,COLLABORATION AND TEAMWORK,S_SKILL,919,4.7779972964541955,0.0
1,2024-06,COMMUNICATION,S_SKILL,667,3.4678174066756786,0.0
2,2024-06,"CLOUD (GC, AWS, AZURE, ETC.)",LANG_FRAM,658,3.421025267755017,0.0
3,2024-06,ANALYTICAL THINKING AND PROBLEM SOLVING,S_SKILL,630,3.275449724446293,0.0
4,2024-06,BACHELOR'S,REQUIREMENT,603,3.1350733076843094,0.0
5,2024-06,AI,LANG_FRAM,476,2.4747842362483103,0.0
6,2024-06,PYTHON,LANG_FRAM,349,1.8144951648123113,0.0
7,2024-06,MACHINE LEARNING,LANG_FRAM,334,1.7365082666112093,0.0
8,2024-06,PASSION AND ENTHUSIASM,S_SKILL,295,1.5337423312883436,0.0
9,2024-07,COLLABORATION AND TEAMWORK,S_SKILL,228,4.682686383240911,-0.019947879268164437
10,2024-06,MASTER'S,REQUIREMENT,195,1.0138296766143287,0.0
11,2024-06,SQL,LANG_FRAM,190,0.987834043880628,0.0
12,2024-07,ANALYTICAL THINKING AND PROBLEM SOLVING,S_SKILL,190,3.9022386527007598,0.1913596546991494
13,2024-06,TESTING,H_SKILL,189,0.982634917333888,0.0
14,2024-07,COMMUNICATION,S_SKILL,187,3.8406243581844324,0.10750478118919604
15,2024-06,CODING/PROGRAMMING,H_SKILL,182,0.9462410315067069,0.0
16,2024-07,AI,LANG_FRAM,175,3.594167180119121,0.4523153685380499
17,2024-06,DEVELOPMENT,H_SKILL,164,0.8526567536653842,0.0
18,2024-06,DATA ANALYSIS,H_SKILL,161,0.8370593740251638,0.0
19,2024-07,BACHELOR'S,REQUIREMENT,157,3.224481413021154,0.028518664975934804
20,2024-06,"APIS (SOAP, REST, ETC.)",LANG_FRAM,156,0.811063741291463,0.0
21,2024-07,"CLOUD (GC, AWS, AZURE, ETC.)",LANG_FRAM,146,2.9985623331279525,-0.12349015326165591
22,2024-06,WILLING TO LEARN,S_SKILL,128,0.665488197982739,0.0
23,2024-06,INDEPENDENT WORKING,S_SKILL,125,0.6498908183425184,0.0
24,2024-06,DEGREE,REQUIREMENT,125,0.6498908183425184,0.0
25,2024-06,AGILE,H_SKILL,125,0.6498908183425184,0.0
26,2024-06,JAVA,LANG_FRAM,124,0.6446916917957783,0.0
27,2024-06,ATTENTION TO DETAIL,S_SKILL,122,0.634293438702298,0.0
28,2024-06,LINUX,LANG_FRAM,112,0.5823021732348965,0.0
29,2024-06,LEADERSHIP,S_SKILL,112,0.5823021732348965,0.0
30,2024-06,2:1,REQUIREMENT,107,0.5563065405011958,0.0
31,2024-06,JAVASCRIPT,LANG_FRAM,107,0.5563065405011958,0.0
32,2024-06,C++,LANG_FRAM,107,0.5563065405011958,0.0
33,2024-06,DEPLOYMENT,H_SKILL,104,0.5407091608609754,0.0
34,2024-06,DRIVEN AND MOTIVATED,S_SKILL,101,0.5251117812207549,0.0
35,2024-06,"VERSION CONTROL (GIT, GITHUB, GITLAB, ETC.)",LANG_FRAM,100,0.5199126546740148,0.0
36,2024-06,C,LANG_FRAM,86,0.4471248830196527,0.0
37,2024-06,C#,LANG_FRAM,85,0.44192575647291255,0.0
38,2024-07,MACHINE LEARNING,LANG_FRAM,84,1.7252002464571778,-0.006511929929420401
39,2024-06,PROACTIVE,S_SKILL,76,0.3951336175522512,0.0
40,2024-06,NLP,H_SKILL,76,0.3951336175522512,0.0
41,2024-06,PHD,REQUIREMENT,75,0.3899344910055111,0.0
42,2024-06,TIME MANAGEMENT,S_SKILL,74,0.38473536445877093,0.0
43,2024-06,TROUBLESHOOTING,H_SKILL,74,0.38473536445877093,0.0
44,2024-07,PYTHON,LANG_FRAM,74,1.5198192647360855,-0.16240103902768277
45,2024-06,POWER BI,LANG_FRAM,69,0.3587397317250702,0.0
46,2024-06,CSS,LANG_FRAM,68,0.35354060517833,0.0
47,2024-07,SQL,LANG_FRAM,67,1.3760525775313206,0.3929997513809169
48,2024-06,HTML,LANG_FRAM,66,0.3431423520848497,0.0
49,2024-06,NETWORKING,H_SKILL,66,0.3431423520848497,0.0
50,2024-06,EXCEL,LANG_FRAM,64,0.3327440989913695,0.0
51,2024-07,DEVELOPMENT,H_SKILL,63,1.2939001848428837,0.5174924484919528
52,2024-07,MASTER'S,REQUIREMENT,63,1.2939001848428837,0.2762500592445143
53,2024-06,INTERPERSONAL SKILLS,S_SKILL,62,0.32234584589788917,0.0
54,2024-06,DEVOPS,H_SKILL,58,0.30154933971092857,0.0
55,2024-06,CI/CD,H_SKILL,56,0.29115108661744826,0.0
56,2024-07,DATA ANALYSIS,H_SKILL,55,1.1295953994660095,0.34948061573473455
57,2024-06,KUBERNETES,LANG_FRAM,55,0.2859519600707081,0.0
58,2024-06,R,LANG_FRAM,54,0.28075283352396796,0.0
59,2024-07,PASSION AND ENTHUSIASM,S_SKILL,53,1.088519203121791,-0.2902854795645923
60,2024-06,FLEXIBLE,S_SKILL,50,0.2599563273370074,0.0
61,2024-06,TECHNICAL SUPPORT,H_SKILL,49,0.25475720079026726,0.0
62,2024-06,WINDOWS,LANG_FRAM,47,0.24435894769678693,0.0
63,2024-06,REACT,LANG_FRAM,47,0.24435894769678693,0.0
64,2024-06,IMPLEMENTATION,H_SKILL,46,0.23915982115004678,0.0
65,2024-06,SAP,LANG_FRAM,46,0.23915982115004678,0.0
66,2024-06,.NET,LANG_FRAM,45,0.23396069460330662,0.0
67,2024-06,TYPESCRIPT,LANG_FRAM,44,0.22876156805656647,0.0
68,2024-07,CODING/PROGRAMMING,H_SKILL,43,0.8831382214006983,-0.0666878818449983
69,2024-06,DOCKER,LANG_FRAM,42,0.2183633149630862,0.0
70,2024-07,ATTENTION TO DETAIL,S_SKILL,37,0.7599096323680428,0.19804113680056834
71,2024-07,AGILE,H_SKILL,37,0.7599096323680428,0.16928814951735482
72,2024-06,MICROSOFT,LANG_FRAM,37,0.19236768222938547,0.0
73,2024-06,PYTORCH,LANG_FRAM,36,0.18716855568264532,0.0
74,2024-06,PORTFOLIO,REQUIREMENT,36,0.18716855568264532,0.0
75,2024-07,WILLING TO LEARN,S_SKILL,35,0.7188334360238242,0.0801595553501746
76,2024-06,TABLEAU,LANG_FRAM,34,0.176770302589165,0.0
77,2024-06,TENSORFLOW,LANG_FRAM,34,0.176770302589165,0.0
78,2024-06,2:2,REQUIREMENT,34,0.176770302589165,0.0
79,2024-06,CURIOUS,S_SKILL,33,0.17157117604242486,0.0
80,2024-06,DATA VISUALISATION,H_SKILL,32,0.16637204949568474,0.0
81,2024-07,LEADERSHIP,S_SKILL,32,0.6572191415074964,0.12865651497814157
82,2024-07,C++,LANG_FRAM,31,0.6366810433353871,0.14447880257129309
83,2024-06,LLM,LANG_FRAM,31,0.16117292294894459,0.0
84,2024-07,TESTING,H_SKILL,31,0.6366810433353871,-0.3520675562162521
85,2024-06,PHP,LANG_FRAM,31,0.16117292294894459,0.0
86,2024-06,JIRA,LANG_FRAM,30,0.15597379640220443,0.0
87,2024-06,DATA ANALYTICS,H_SKILL,30,0.15597379640220443,0.0
88,2024-06,ORGANISED,S_SKILL,29,0.15077466985546428,0.0
89,2024-07,POWER BI,LANG_FRAM,29,0.5956048469911687,0.6602700908736432
90,2024-06,POWERPOINT,LANG_FRAM,29,0.15077466985546428,0.0
91,2024-06,MICROSOFT OFFICE,LANG_FRAM,28,0.14557554330872413,0.0
